part_id,num_fillet,num_hole,num_plane,smallest_fillet_r,smallest_hole_r,load_face,load_direction,load_scale,global_size_initial,global_size_final,converged,top2_features,local_refine_needed,local_size,,thickness,maxsize,load_id
1,4,4,6,3.0226,2.4,bend_bottom,-1,low,3.775,2.4160000000000004,0,"FILLET,FACE",1,0.7644375000000001,,3.02,25.399999618530273,1
1,4,4,6,3.0226,2.4,bend_bottom,-1,medium,3.775,2.4160000000000004,1,"FILLET,FACE",1,1.0192500000000002,,3.02,25.399999618530273,2
1,4,4,6,3.0226,2.4,bend_bottom,-1,high,3.775,2.4160000000000004,1,"FILLET,FACE",1,1.0192500000000002,,3.02,25.399999618530273,3
1,4,4,6,3.0226,2.4,tension,-1,low,3.775,2.4160000000000004,1,"CIRC_HOLE,FACE",1,0.7644375000000001,,3.02,25.399999618530273,4
1,4,4,6,3.0226,2.4,tension,-1,medium,3.775,2.4160000000000004,1,"CIRC_HOLE,FACE",1,0.7644375000000001,,3.02,25.399999618530273,5
1,4,4,6,3.0226,2.4,tension,-1,high,3.775,2.4160000000000004,1,"CIRC_HOLE,FACE",1,0.7644375000000001,,3.02,25.399999618530273,6
1,4,4,6,3.0226,2.4,bend_bottom,1,low,3.775,2.4160000000000004,1,"FILLET,FACE",1,1.0192500000000002,,3.02,25.399999618530273,7
1,4,4,6,3.0226,2.4,bend_bottom,1,medium,3.775,2.4160000000000004,1,"FILLET,FACE",1,1.0192500000000002,,3.02,25.399999618530273,8
1,4,4,6,3.0226,2.4,bend_bottom,1,high,3.775,2.4160000000000004,1,"FILLET,FACE",1,1.0192500000000002,,3.02,25.399999618530273,9
1,4,4,6,3.0226,2.4,tension,1,low,3.775,2.4160000000000004,1,"CIRC_HOLE,FACE",1,1.0192500000000002,,3.02,25.399999618530273,10
1,4,4,6,3.0226,2.4,tension,1,medium,3.775,2.4160000000000004,1,"CIRC_HOLE,CIRC_HOLE",1,0.7644375000000001,,3.02,25.399999618530273,11
1,4,4,6,3.0226,2.4,tension,1,high,3.775,2.4160000000000004,1,"CIRC_HOLE,CIRC_HOLE",1,1.0192500000000002,,3.02,25.399999618530273,12
2,2,4,9,0.80264,2.4,bend_bottom,-1,low,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,13
2,2,4,9,0.80264,2.4,bend_bottom,-1,medium,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,14
2,2,4,9,0.80264,2.4,bend_bottom,-1,high,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,15
2,2,4,9,0.80264,2.4,tension,-1,low,2.5,1.6,1,"CIRC_HOLE,CIRC_HOLE",1,0.5062500000000001,,2,23.012399673461914,16
2,2,4,9,0.80264,2.4,tension,-1,medium,2.5,1.6,1,"CIRC_HOLE,CIRC_HOLE",1,0.5062500000000001,,2,23.012399673461914,17
2,2,4,9,0.80264,2.4,tension,-1,high,2.5,1.6,1,"CIRC_HOLE,CIRC_HOLE",1,0.5062500000000001,,2,23.012399673461914,18
2,2,4,9,0.80264,2.4,bend_bottom,1,low,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,19
2,2,4,9,0.80264,2.4,bend_bottom,1,medium,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,20
2,2,4,9,0.80264,2.4,bend_bottom,1,high,2.5,1.6,1,"FILLET,FACE",1,0.675,,2,23.012399673461914,21
2,2,4,9,0.80264,2.4,tension,1,low,2.5,1.6,1,"CIRC_HOLE,FACE",1,0.675,,2,23.012399673461914,22
2,2,4,9,0.80264,2.4,tension,1,medium,2.5,1.6,1,"CIRC_HOLE,FACE",1,0.37968750000000007,,2,23.012399673461914,23
2,2,4,9,0.80264,2.4,tension,1,high,2.5,1.6,1,"CIRC_HOLE,FACE",1,0.675,,2,23.012399673461914,24
8,3,8,17,0.66675,3.5433,bend_bottom,-1,low,3.3375,1.8773437499999999,1,"FACE,FACE",1,1.8773437499999999,,2.67,63.5,25
